window,label,mode,status,coin,side,ts_open,ts_close,notional,potential_pp,cash_bybit_after_open,cash_okx_after_open,cash_bybit_after_close,cash_okx_after_close,cash_bybit,cash_okx,equity_bybit,equity_okx,pnl_bybit,pnl_okx,fee_bybit,fee_okx
all,frozen,fixed100,closed,LA,long,1788387355,1788422773,100.0,0.21047682762145997,203.48033605947137,29.052430812490837,201.7206960784197,31.18495392374362,201.7206960784197,31.18495392374362,201.7206960784197,31.18495392374362,-1.6579819990525966,2.183614918712139,0.2016579819990526,0.10109180745935607
all,frozen,fixed100,closed,ICX,short,1788431981,1788465064,100.0,0.23981124609708787,201.6206960784197,31.13495392374362,203.6853764684522,29.46950720684372,203.6853764684522,29.46950720684372,203.6853764684522,29.46950720684372,2.166847237269759,-1.6146393972013005,0.20216684723726977,0.10080731969860064
all,frozen,fixed100,closed,ICX,short,1788477336,1788478223,100.0,0.21748909801244737,203.5853764684522,29.41950720684372,204.52491861205263,28.852185593606908,204.52491861205263,28.852185593606908,204.52491861205263,28.852185593606908,1.0405827263267367,-0.5170630816959638,0.20104058272632674,0.10025853154084799
all,frozen,fixed100,closed,LA,long,1788479756,1788509425,100.0,0.21255279779434205,204.42491861205264,28.802185593606907,201.74404230708583,31.859687187994673,201.74404230708583,31.859687187994673,201.74404230708583,31.859687187994673,-2.5782980069598334,3.1090561224489917,0.20257829800695987,0.1015545280612245
all,frozen,fixed100,closed,ICX,short,1788519958,1788529528,100.0,0.27971012592315675,201.64404230708584,31.809687187994673,203.1944796248701,30.696353854661332,203.1944796248701,30.696353854661332,203.1944796248701,30.696353854661332,1.652089407191448,-1.062801932367157,0.20165208940719145,0.10053140096618358
all,frozen,fixed100,closed,ICX,short,1788532808,1788549015,100.0,0.30314621031284333,203.0944796248701,30.64635385466133,220.13372133103124,14.140761749398177,220.13372133103124,14.140761749398177,220.13372133103124,14.140761749398177,17.156398104265392,-16.44736842105263,0.2171563981042654,0.10822368421052633
all,frozen,fixed100,closed,ICX,short,1788549603,1788551116,100.0,0.26796306371688844,220.03372133103124,14.090761749398176,221.4819268775239,13.07018778011767,221.4819268775239,13.07018778011767,221.4819268775239,13.07018778011767,1.549755301794447,-0.9700889248180967,0.20154975530179445,0.10048504446240904
all,frozen,fixed100,closed,ICX,short,1788562513,1788564805,100.0,0.22841365337371827,221.3819268775239,13.02018778011767,226.03210975974775,8.774309255171907,226.03210975974775,8.774309255171907,226.03210975974775,8.774309255171907,4.754937820043888,-4.1937816341286975,0.2047549378200439,0.10209689081706436
all,frozen,fixed100,closed,ICX,short,1788564950,1788565065,100.0,0.2686998963356018,225.93210975974776,8.724309255171907,228.58943460051208,6.5038753853328615,228.58943460051208,6.5038753853328615,228.58943460051208,6.5038753853328615,2.7600849256900193,-2.169349195241424,0.20276008492569,0.10108467459762072
all,frozen,fixed100,closed,ICX,short,1788566288,1788566437,100.0,0.21653754711151124,228.48943460051208,6.453875385332862,226.26098099226465,9.051059917218884,226.26098099226465,9.051059917218884,226.26098099226465,9.051059917218884,-2.130584192439871,2.6458616010854796,0.19786941580756012,0.09867706919945726
